call_me_cute_kitty_13|1
aamiix____|1
official_ashu445|1
sam_l_you|1
sebin_thadikkaran|1
mr_nick_2416|1
aoifeirlys|1
fearlessly_flawed_1|1
its__priyanka12|1
amruthaantu|1
sandy_.518|1
bandhavya._.r|1
kushali_goparaju|1
sweezel_|1
_anit_jose_|1
_clare.joseph_|1
cute______crush|1
__blah_blah_blaah_|1
shivaraj_bhangi|1
alina_lepcha_17|1
an___iiishh_aaa|1
__undeservingbitch__|1
taisonabraham|1
reethu_nikitharobert|0
drsandhya_|0
srivasthava_001|0
f.r.j1202|0
daily_biblequotes2022|0
anjo_gijo_aryapillil_|0
lysander_hugh_lopes_01|1
anlittacjohnson|0
anoop__k__s|1
jithindavid007|0
lino_george_kurian|1
helna_sajan|0
feba_bijoy|0
_revv_head_|1
aneena_james_|0
faraj9696|0
__bless__ame__|0
htj_77|0
_son_of_varky_|0
anu_mol_johns|0
annmary_johns|0
sreshtta.tnzn_|0
kevin.baji|0
___tom__thomas|1
vipul_alex|1
tom_in_|1
melbzz000|0
__.akzy.___|0
niroscin|0
aleena_sojan|0
_rani_mathew|0
itz_k.anuj_|0
ajit.benny24|0
seku4949|0
ofsupriyo|0
kadan_22|0
justin.minz_|0
clementmarshal14|0
ahslocals|1
manali1301|0
vineeth_p_r_|0
raisa__castelino|0
juz_jusvanth|1
__.bens0n.__|1
christoajaisiluvai|1
ananya_yuvakumar|0
adi_jangir.07|0
_nvndsilva|0
rachana_n_murthy|0
amal_spam56|0
jacob_nova_|0
_alb.x.n__|0
cris.lyn04|0
_praveen_goutham|0
liya__._|0
_.aina21._|0
mich_berna_lobo|0
xavi_dami|0
___.bobby._.v|0
prathyasha___|0
mr.jerry_00_7|1
jeff_in_1996|1
simranreddy919|0
durgamgangireddy|-1
__.athul|0
__ar0ra__|0
sal.v.in|0
_thebluehorizon_|0
abraham_ab_11|0
punith_10k|1
a_l_n__a_l_x|0
_joel_tito_|0
annunciata_b_spencer|0
__shakzz07__|0
i_vibhuti|0
sheena_benny|0
jeevakbenny|0
casting__india|1
vinai_divine|0
ajay.fule.948|1
anna_liju_|0
joshua.jo077|0
rinta_gloria|0
aashi_karky_raj|0
vidya_sagar__s|0
__the_panda___|0
mr_som.01|0
alex__pm___|0
royce_raju|0
_.vyshhhhhh._|0
edwin.saji999|1
johnemmanuel1205|1
srea.h|1
_s._r.__|1
libina_sabu|0
beast._in|0
__al__an___|0
__angel_mariya_|0
__jeni_tta__|0
maddydhilip|1
elzabeth_elza_|0
vudarbaganmus|1
jacob.annmary|0
jomy_jr|0
the_choco_witch|0
mohitjain_m.j|0
jackman286|0
alenroy89|0
_dr_n_o_b_o_d_y_|0
mathew.seb|0
kawale7210|1
nayagamperiya64|1
ahmednailartist|1
__a.leena_|0
celebratie_officialsdubs|0
dr.rahul_27|0
